Job Title,Company Name,Location,Company Email,Name
"Product Marketing Specialist (B2B SaaS, Hybrid, New Delhi, 3-6 LPA)",Eazybe,"New Delhi, Delhi • via Foundit.in",,
Software Developer for web based SaaS application,WebSenor,"Udaipur, Rajasthan (+1 other) • via WebSenor",,
SaaS Sales Executive,Infiflex Technologies Pvt. Ltd.,"Mumbai, Maharashtra • via LinkedIn",,
Qlik Cloud Admin (Saas),MResult,"Gandhinagar, Gujarat • via Expertini",,
Marketing Executives software - SaaS,Damerax Cloud Soluions,India • via Glassdoor,,
Team Lead- Lead Generation (B2B IT SAAS),Salesable,India • via Shine,,
"Senior Solutions Engineer (3+ years, B2B SaaS)",Docsumo,Anywhere • via Himalayas.app,,
Partner Head- India (saas),AiTrillion,India • via Adzuna,,
Account Executive (SaaS),BlogVault,India • via LinkedIn,,
Enterprise Sales Executive - B2B SaaS (eCommerce/Fashion),Flixstock,"Gurugram, Haryana • via Glassdoor",,
Director of Email Lifecycle Marketing | SaaS | Listed Firm,Michael Page,"Bengaluru, Karnataka • via Michael Page",,
HR Head - Tech | B2B - SaaS/Product - Startup,MetaMorph,"Mumbai, Maharashtra • via LinkedIn",,
Customer Success Specialist - B2B SaaS,Astra Security,"Kota, Rajasthan • via Expertini",,
Sales Development Representative ( SAAS ) in Mumbai,Klimb,India • via Shine,,
Enterprise Sale (SAAS),Freight Mango,"Gurugram, Haryana • via Glassdoor",,
Enterprise Sales Manager- B2B- SaaS Solutions,HYrEzy Tech Solutions,"Bengaluru, Karnataka • via LinkedIn",,
Inside Sales Team Lead for SaaS Product,innofied,"Kolkata, West Bengal • via Glassdoor",,
Business Development Representative- (B2B SaaS),Contify,"Vandiperiyar, Kerala • via WhatJobs",,
Customer Success Specialist - B2B SaaS,Astra Security,"Davanagere, Karnataka • via Expertini | India Jobs Expertini",,
"Account Manager, Publisher Development",LTV SaaS Growth Fund,Anywhere • via LinkedIn,,
Chief Technology Officer (CTO) - SaaS,innofied,"Kolkata, West Bengal • via Glassdoor",,
Sr. Business Analyst / Product Manager (SaaS),RunLoyal: Pet Software,"Erode, Tamil Nadu • via WhatJobs",,
Associate Technical Account Advisor - TAM/SaaS/Supply Chain,Blue Yonder,India • via LinkedIn,,
Strategic Account Director - SaaS,Confidential,"Thane, Maharashtra • via Expertini",,
Edtech SaaS Sales Manager,ViewSonic,"Mumbai, Maharashtra • via LinkedIn",,
Customer Success Specialist - B2B SaaS,Astra Security,India • via Expertini | India Jobs Expertini,,
VP-Finance and Business Operations-SaaS,EdgeVantage,"Pune, Maharashtra • via LinkedIn",,
Account Executive / Manager - Saas Sales,The Hub,"Faridabad, Haryana • via LinkedIn",,
"Senior Manager - Content Marketing, B2B SaaS",SocialPilot,"Jodhpur, Rajasthan • via Expertini",,
SaaS Sales - North,LeadSquared,Uttar Pradesh • via WhatJobs,,
Sales Development Rep (SaaS SDR),WABB,"Bengaluru, Karnataka • via LinkedIn",,
Key Account Manager | B2B SaaS,Legistify,"Gurugram, Haryana • via LinkedIn",,
Principal Product Designer,SaaS Labs,"Greater Noida, Uttar Pradesh • via Instahyre",,
Senior Software Architect - SaaS Applications,SGP India Pvt LTd,Anywhere • via Hirist,,
Sales / Business Development Manager (ERP & SaaS Solutions),WAHELINK INFOTECH LLP,"Malerkotla, Punjab • via LinkedIn",,
Job Code : JN/08082023/CHN,BUSISOL SOURCING INDIA PVT. LTD,India • via TechGig,,
Business Head - P&L Owner - B2B SaaS (10-20 yrs),ARA Resources Pvt Ltd,"Pune, Maharashtra • via IIM Jobs",,
"Business Development Executive (SaaS), Remote job",iT Gurus Software,Anywhere • via LinkedIn,,
(UV935) | Strategic Account Director - SaaS (09/05/2025),Talentiser,India • via Jobrapido.com,,
Director of Marketing,Qrata,"Bengaluru, Karnataka • via Cutshort",,
Sales Executive/SaaS,Shipturtle,"Ahmedabad, Gujarat • via Learn4Good",,
Senior PHP/Laravel/YII Developers - SaaS experience,SimplifyVMS,"Noida, Uttar Pradesh • via LinkedIn",,
Sr. Business Analyst / Product Manager (SaaS),RunLoyal: Pet Software,"Anand, Gujarat • via WhatJobs",,
PHP/Laravel Senior Developers - SaaS,hireHQ,India • via Shine,,
Business Development/ Sales Manager (saas),ONS Interactive Solutions Pvt Ltd,India • via MNCJobsIndia,,
Strategic Account Director - SaaS,Talentiser,"Anantapur, Andhra Pradesh • via WhatJobs",,
Generalist Marketer (B2B SaaS),Adecco Group,"Bengaluru, Karnataka • via Joblum India",,
▷ [15h Left] Sales Specialist – Healthcare SaaS,Stratotek Inc.,"Malappuram, Kerala • via WhatJobs",,
"Senior BDR, B2B SaaS Sales",MsgKart,"Hosur, Tamil Nadu • via Learn4Good",,
ETL Data Architect SaaS || (10-15 Y) || Hyderabad (Hybrid) || Quick Joiner ||,Accedepro Private Limited,India • via Shine,,
Senior Android Developer (SaaS Product),NoPaperForms Solutions,"Gurugram, Haryana • via Glassdoor",,
Technical Trainer - SaaS products and customer lifecycle stages,Mindstech,"Gurugram, Haryana • via Joblum India",,
Business Development Representative- (B2B SaaS),Contify,"Bareilly, Uttar Pradesh • via WhatJobs",,
BDM | Individual Role | Field Sales | Saas Sales | Bangalore | Rajajinagar,Gyankaar Technologies Pvt Ltd,"Bengaluru, Karnataka • via Glassdoor",,
Junior Sales Representative,Jeenam - B2B SaaS link building agency,"Morbi, Gujarat • via LinkedIn",,
Sr. Business Analyst / Product Manager (SaaS),RunLoyal: Pet Software,Uttar Pradesh • via WhatJobs,,
"Senior BDR, B2B SaaS Sales",MsgKart,"Meerut, Uttar Pradesh • via Expertini",,
Yapsody India - Project Manager - SaaS Platform,Yapsody India Pvt. Ltd.,India • via Shine,,
"Senior Manager - Content Marketing, B2B SaaS",SocialPilot,"Tirupati, Andhra Pradesh • via Expertini",,
Software Engineer:Testing,A2Z Saas,Chandigarh • via Glassdoor,,
Strategic Account Director - SaaS,Talentiser,"Bikaner, Rajasthan • via WhatJobs",,
Director of Product Design,SaaS Labs,"Bengaluru, Karnataka • via LinkedIn",,
Strategic Account Director - SaaS,Talentiser,"Pushkar, Rajasthan • via WhatJobs",,
Strategic Account Director - SaaS,Confidential,"Kanpur, Uttar Pradesh • via Expertini",,
▷ [15h Left] Sales Specialist – Healthcare SaaS,Stratotek Inc.,"Malappuram, Kerala • via WhatJobs",,
Strategic Account Director - SaaS,Confidential,"Indore, Madhya Pradesh • via Expertini",,
Strategic Account Director - SaaS,Talentiser,"Ajmer, Rajasthan • via WhatJobs",,
"Senior manager - content marketing, b2b saas",SocialPilot,"Visakhapatnam, Andhra Pradesh • via Expertini | India Jobs Expertini",,
"Senior manager - content marketing, b2b saas",SocialPilot,"Moradabad, Uttar Pradesh • via Expertini | India Jobs Expertini",,
Node.js Developer-B2B SaaS,Troopr Labs,"Ahmedabad, Gujarat • via WhatJobs",,
Node.js Developer-B2B SaaS,Troopr Labs,"Kannur, Kerala • via WhatJobs",,
SaaS Renewals Manager (Gurugram/ Bengaluru),Oracle,"Kakinada, Andhra Pradesh • via Expertini",,
Growth Hacker (AI SaaS),Stealth Startup,"Lucknow, Uttar Pradesh • via WhatJobs",,
Growth Hacker (AI SaaS),Stealth Startup,"Pushkar, Rajasthan • via WhatJobs",,
Strategic Account Director - SaaS,Confidential,"Guntur, Andhra Pradesh • via Expertini",,
Marketing Intern (B2B SaaS),Atom11,"Nellore, Andhra Pradesh • via Expertini",,
Chief Strategy Officer - US SaaS,Talentiser,"Vandiperiyar, Kerala • via WhatJobs",,
Chief Technology Officer (CTO) - SaaS,innofied,"Kolkata, West Bengal • via Glassdoor",,
Enterprise Account Executive - US/ APAC/ EMEA| Bangalore,Michael Page,Anywhere • via Michael Page,,
Chief Strategy Officer - US SaaS,Confidential,"Panipat, Haryana • via Expertini | India Jobs Expertini",,
Strategic Account Director - SaaS,Talentiser,"Chhatrapati Sambhajinagar, Maharashtra • via WhatJobs",,
Video Content Creator – Digital Marketing (B2B SaaS/Cybersecurity),OpenIAM,"Alappuzha, Kerala • via Expertini",,
Business Development Representative- (B2B SaaS),Contify,"Bhubaneswar, Odisha • via WhatJobs",,
"Senior BDR, B2B SaaS Sales",MsgKart,"Sangli, Maharashtra • via Expertini",,
"Python Devloper-Azure,Saas-5+ Years",Cortex Consultants LLC,"Chennai, Tamil Nadu • via LinkedIn",,
Director of Demand Gen Marketing (B2B SaaS),TopHat HR,"Mount Abu, Rajasthan • via Expertini",,
"Siebel Principal Config Engineer, CSS Global SaaS & Apps Delivery",Oracle,"Hyderabad, Telangana • via LinkedIn",,
Business Development Representative- (B2B SaaS),Contify,"Kottayam, Kerala • via WhatJobs",,
Customer Success Specialist - B2B SaaS,Astra Security,"Bhubaneswar, Odisha • via Expertini",,
"Senior Infrastructure Engineer – Multi-Cloud, Cloud-Agnostic SaaS Platform",Think Right Technologies Pvt Ltd,Chandigarh • via LinkedIn,,
Qlik Cloud Admin (Saas),MResult,"Nagpur, Maharashtra • via Expertini",,
Business Development Representative- (B2B SaaS),Contify,"Baddi, Himachal Pradesh • via WhatJobs",,
Neolytix - SaaS & CRM Implementation Specialist,Neolytix,"Gurugram, Haryana • via LinkedIn",,
Video Content Creator – Digital Marketing (B2B SaaS/Cybersecurity),OpenIAM,"Salem, Tamil Nadu • via Expertini",,
SaaS & Specialty Licensing Senior Consultant,Anglepoint,Gujarat • via Expertini,,
Customer Success Specialist - B2B SaaS,Astra Security,"Dindigul, Tamil Nadu • via Expertini | India Jobs Expertini",,
Video Content Creator – Digital Marketing (B2B SaaS/Cybersecurity),OpenIAM,"Bhavnagar, Gujarat • via Expertini",,
Customer Success Specialist - B2B SaaS,Astra Security,"Kakinada, Andhra Pradesh • via Expertini",,
"Sr. Implementation Manager (Project Manager, SaaS)",Black Duck,"Bengaluru, Karnataka • via LinkedIn",,
Customer Success Specialist - B2B SaaS,Astra Security,"Faridabad, Haryana • via Expertini",,
Enterprise SaaS - MSD - Power Platform ??? Power Automate & RPA Developer,Zensar Technologies,India • via LinkedIn,,
Customer Success Specialist - B2B SaaS,Astra Security,"Mysuru, Karnataka • via Expertini | India Jobs Expertini",,
Oracle SaaS Cloud Security - Senior Consultant,Deloitte,"Hyderabad, Telangana • via LinkedIn",,
Oracle SaaS Cloud Security - Senior Consultant,Deloitte,"Bengaluru, Karnataka • via LinkedIn",,
Interesting Job Opportunity: Sciative Solution - Technical Architect - SaaS Applications,Sciative - We Price Right,"Navi Mumbai, Maharashtra • via LinkedIn",,
